Hospital,Accuracy,Precision,Recall,F1-Score,AUC,MCC
AKS,0.8132716049382716,0.9134808853118712,0.8533834586466166,0.8824101068999028,0.8545461174487944,0.43771342443686806
ARCHDAM,0.7872615583575816,0.5888077858880778,0.6019900497512438,0.5953259532595326,0.8079284660141843,0.45110256128437914
B2K,0.7015018773466833,0.42186297151655117,0.729693741677763,0.5346341463414634,0.7915123393757199,0.3647414843047491
CHE,0.5100864553314121,0.9620689655172414,0.4588815789473684,0.621380846325167,0.7601552937576499,0.22110878728663397
CMD,0.8114035087719298,0.7669902912621359,0.5602836879432624,0.6475409836065574,0.8691433074411798,0.5350419828643309
GAK,0.5710659898477157,0.9620991253644315,0.5385556915544676,0.6905571540674863,0.7434843452848467,0.23222767105759592
KAL,0.615257048092869,0.44715447154471544,0.8549222797927462,0.5871886120996441,0.7989258182737268,0.34210308888603347
KATMOJPRZ,0.6176907094093202,0.3746014877789586,0.8639705882352942,0.5226093402520385,0.8080583780711659,0.34765642321848894
KIEG,0.7319148936170212,0.7123287671232876,0.832,0.7675276752767528,0.8379636363636362,0.46309262931574535
KLU,0.6869510664993727,0.7788873038516405,0.6134831460674157,0.6863607793840352,0.7501356613891726,0.39349077483990513
KUD,0.7488653555219364,0.7426470588235294,0.6778523489932886,0.7087719298245614,0.8187919463087249,0.49040767420904813
LUMICE,0.6889848812095032,0.5019157088122606,0.903448275862069,0.645320197044335,0.8809152027759705,0.4625872994057598
LUX_A,0.7571359458151911,0.776158940397351,0.6376496191512514,0.7001194743130227,0.8301422163918515,0.5061410952438069
MKW,0.7298311444652908,0.7099447513812155,0.8682432432432432,0.7811550151975684,0.8278595050746949,0.45265396107376804
MOR,0.7380952380952381,0.8222222222222222,0.7668393782383419,0.7935656836461126,0.8092648643102653,0.4386019956436203
OST,0.750886524822695,0.6246006389776357,0.8947368421052632,0.735653809971778,0.889577337921031,0.5437005136158246
OTW,0.7410714285714286,0.6352040816326531,0.7697063369397218,0.6960167714884696,0.8378920656960192,0.4807272158212507
PIO,0.48366533864541833,0.9195402298850575,0.4831751509922347,0.6334841628959276,0.48489178889847573,-0.014487174675598305
PRZ,0.7503097893432465,0.6930455635491607,0.7972413793103448,0.7415009621552278,0.8461440595787596,0.5069252683267477
PUS,0.7474489795918368,0.7360594795539034,0.8761061946902655,0.8,0.8459057468813307,0.4774640409637961
SL2,0.7,0.6666666666666666,0.725,0.6946107784431138,0.7877777777777778,0.4021916753065067
SLU,0.7725455353176366,0.8638743455497382,0.8423142370958593,0.8529580700746697,0.7891285346326585,0.3518980187598589
SRK,0.7902912621359224,0.6918918918918919,0.7150837988826816,0.7032967032967034,0.859620244745943,0.5413785614768841
STG1,0.5896709522771846,0.9433865156973752,0.5083194675540765,0.6606595783023969,0.7780950591559563,0.3291627715498923
SZC,0.6769700438847548,0.5714052287581699,0.8208920187793427,0.6737957610789981,0.803637554459943,0.39790189917502505
TER_L,0.6186274509803922,0.45627376425855515,0.6997084548104956,0.5523590333716916,0.7218348829297493,0.2620998200866106
TOR,0.4625,0.28551532033426186,0.9855769230769231,0.4427645788336933,0.8955541632569558,0.28785954623432985
WLU,0.6103938024531956,0.9032023289665211,0.5360691144708424,0.6728110599078341,0.7397648188144949,0.3203495411491839
Z04O,0.6749680715197957,0.775310254735467,0.6378291241268136,0.6998820754716981,0.7348362660447945,0.36069248943384796
ZOZLO,0.8204911092294666,0.8333333333333334,0.8757062146892656,0.8539944903581267,0.9114559071200774,0.622687013152899
