,mean_value,std_value
MCC_Overall,0.6004763380449629,0.004750011168281588
Accuracy,0.6431423381808746,0.004124423283509442
Precision (Macro),0.5789981135654761,0.02996864517666444
Precision (Weighted),0.6264537707019251,0.006614599475310292
Recall (Macro),0.40082762992371784,0.006320393959274425
Recall (Weighted),0.6431423381808746,0.004124423283509442
F1-Score (Macro),0.44083002988224573,0.009660119918350746
F1-Score (Weighted),0.6190250020580957,0.003622236385654587
AUC (OvR),0.9431758209855522,0.0030705552562355367
AUC (OvO),0.9269321944360627,0.0033005505494503326
MCC_AKS,0.2309650851267701,0.08865943501025428
MCC_ARCHDAM,0.6843029319991255,0.010455227773913497
MCC_B2K,0.8403668957093029,0.016655521887817843
MCC_CHE,0.048278545284087614,0.1083891884818896
MCC_CMD,0.06207180200457653,0.04864553200631231
MCC_GAK,0.38905789592929796,0.03319182008254897
MCC_KAL,0.6297155934593194,0.052077224344489983
MCC_KATMOJPRZ,0.6507483472651112,0.014312821826616523
MCC_KIEG,0.04886933597448088,0.10977031439757563
MCC_KLU,0.39563243130427145,0.03571702057513468
MCC_KUD,0.38678778137051817,0.05776554284494746
MCC_LUMICE,0.5729008672623381,0.08885013713371422
MCC_LUX_A,0.5359491719024084,0.0205430937861437
MCC_MKW,0.42636180602143503,0.07715522894659341
MCC_MOR,0.5045140099321985,0.0722675875181181
MCC_OST,0.3323716110056652,0.04954650321824266
MCC_OTW,0.5555895861224835,0.02920409165292574
MCC_PIO,0.24944169159537255,0.08647886676551454
MCC_PRZ,0.5023532094377956,0.010767239236214785
MCC_PUS,0.5193272630649829,0.05821842147260441
MCC_SL2,0.24106858476384146,0.10933102251894113
MCC_SLU,0.5916202483055444,0.03894901887319012
MCC_SRK,0.48416556099190505,0.028779736358665105
MCC_STG1,0.649982204648669,0.034178562521778894
MCC_SZC,0.6777410961033514,0.007209621005291125
MCC_TER_L,0.31234119357092893,0.018633120685479617
MCC_TOR,0.5816940467896404,0.02674483961318964
MCC_WLU,0.3846709099347177,0.033329460982914484
MCC_Z04O,0.6788921903166775,0.024752097057937163
MCC_ZOZLO,0.3222643588945996,0.027329312167944136
