model,method,k,auc_mean,auc_std,n
catboost,combat,5,0.8055,0.0523,30
catboost,combat,15,0.8069,0.0524,30
catboost,combat,30,0.8092,0.0521,30
catboost,combat,50,0.8096,0.0516,30
catboost,covbat,5,0.7938,0.0517,30
catboost,covbat,15,0.7891,0.0521,30
catboost,covbat,30,0.793,0.0526,30
catboost,covbat,50,0.7951,0.05,30
catboost,neurocombat,5,0.806,0.0523,30
catboost,neurocombat,15,0.8065,0.0524,30
catboost,neurocombat,30,0.8093,0.0525,30
catboost,neurocombat,50,0.8104,0.051,30
catboost,raw,5,0.8035,0.0493,30
catboost,raw,15,0.8029,0.0485,30
catboost,raw,30,0.8038,0.0484,30
catboost,raw,50,0.8034,0.048,30
catboost,sitewise,5,0.792,0.0538,30
catboost,sitewise,15,0.8017,0.0505,30
catboost,sitewise,30,0.8059,0.0506,30
catboost,sitewise,50,0.8073,0.0498,30
logreg,combat,30,0.7767,0.0572,30
logreg,covbat,30,0.7806,0.0577,30
logreg,neurocombat,30,0.7772,0.0572,30
logreg,raw,30,0.7705,0.0524,30
logreg,sitewise,30,0.7686,0.0568,30
