label,tag,site_mcc,patho_auc,group
manual/raw,manual/raw,0.852501607132335,0.8034024571439228,manual
manual/sitewise,manual/sitewise,0.9753324318864731,0.8017319801058871,manual
manual/combat,manual/combat,0.9732793173836392,0.807802890062488,manual
manual/neurocombat,manual/neurocombat,0.9727827990525212,0.808061300011681,manual
manual/covbat,manual/covbat,0.9296119671914754,0.792747855907799,manual
baseline (1L),baseline,0.3074583036770167,0.8026713968721373,dann
DANN (1L),dann,0.17633541918089451,0.7959720169032399,dann
MTL (1L),mtl,0.7453667847682449,0.750008254199211,dann
baseline (2L),baseline_2layer,0.4048828107001962,0.7919715427267726,dann
DANN (2L),dann_2layer,0.36130427009690885,0.803634274915045,dann
MTL (2L),mtl_2layer,0.7219793180923925,0.7795937351968798,dann
