features,tag,label,method,AUC_mean,AUC_std,MCC_mean,MCC_std
manual,manual/raw,manual / raw,raw,0.8034024571439228,0.04794018864872661,0.41314904277590875,0.09762314486407778
manual,manual/sitewise,manual / sitewise,sitewise,0.8017319801058871,0.050881977546061045,0.41543163873509575,0.10519500394551111
manual,manual/combat,manual / combat,combat,0.807802890062488,0.05146161877852907,0.42884525250931826,0.10735083862230703
manual,manual/neurocombat,manual / neurocombat,neurocombat,0.808061300011681,0.05141290064705256,0.4301780401419283,0.10948390877577532
manual,manual/covbat,manual / covbat,covbat,0.792747855907799,0.05098268087038244,0.40848949116524896,0.10286984103322055
dann,baseline,baseline (1L),raw,0.8026713968721373,0.05054476713627574,0.44937435131938847,0.10642885437295062
dann,baseline_2layer,baseline (2L),raw,0.7919715427267726,0.04851269866138444,0.4223592265686638,0.10167365332976937
dann,dann,DANN (1L),raw,0.7959720169032399,0.05485187152999909,0.4598699553380332,0.10713026378946576
dann,dann_2layer,DANN (2L),raw,0.803634274915045,0.04784025492957862,0.42323932845841017,0.10291455505403412
dann,mtl,MTL (1L),raw,0.750008254199211,0.04988028371691819,0.34152100843741684,0.09426802999554285
dann,mtl_2layer,MTL (2L),raw,0.7795937351968798,0.047267338892018944,0.38595244020060343,0.09684111432242883
