institution_id,hardware,software,sfreq_hz,highpass_hz,lowpass_hz
H1,1032,6,"250, 251","0, 0.16","47, 125"
H20,1032,6.90.0.8,250,0,125
H30,,,250,"0, 0.16","97, 125"
H27,1032,6.82,250,"0, 0.16","71, 125"
H26,,,250,0,125
H28,1032,6.90.3.1,250,0,125
H24,1042,12,256,0.16,"104, 1500"
H2,1032,nie mam informacji,250,0,125
H18,,,"250, 256","0, 0.16","47, 104, 125"
H7,1032,6.90.2.0,250,0,125
H10,,,250,0,125
H19,1042,10.3.8.1,"250, 256","0, 0.16","125, 1500"
H14,,,"250, 251, 256","0, 0.16","97, 104, 125"
H4,,,250,0,125
H8,1032,6.82,"250, 600",0,"125, 300"
H12,1032,6.90.3.1,250,0,125
H13,1032,"[6.90.3.1, 10.3.8.1, 14.0.2.5]",250,"0, 0.16","47, 97, 125"
H11,1032,10.3.8.1,250,"0, 0.16","97, 125"
H22,1032,6.61,250,0,125
H21,1032,10.3.1.3,250,"0, 0.16","97, 125"
H23,1042,14.1.0.1,"250, 256","0, 0.16","104, 125"
H17,1042,"[12.2.1.2, 14.1.1.1]","250, 256","0, 0.16","104, 125"
H29,1032,"[10.3.8.1, 15.0.4.0]",250,"0, 0.16","47, 97, 125"
H9,1032,8.0.7.8,250,0,125
H15,1032,10.3.8.1,250,"0, 0.16","97, 125"
H6,1032,,"250, 300",0,"125, 150"
H5,1032,6.90.3.1,250,0,125
H3,,,250,0.16,97
H16,,,250,0,125
H25,,,251,0,125
